model,stage,country,language,native_PC1,native_PC2,roleplay_PC1,roleplay_PC2,distance_to_native,is_english
mistral-nemo,Stage3,Kenya,en-native,6.0520725982,-0.4710848812,-0.4487534080863016,1.203902797341191,6.713145498741489,True
mistral-nemo,Stage3,"Korea, Republic of",en,6.0520725982,-0.4710848812,0.5163419457098883,2.2314528432551266,6.160196750836914,True
mistral-nemo,Stage3,"Korea, Republic of",ko,6.0520725982,-0.4710848812,1.4371151567706617,4.23758756906978,6.593134947059224,False
mistral-nemo,Stage3,Kuwait,ar,6.0520725982,-0.4710848812,2.3998213338360066,0.914227703262374,3.906152871396383,False
mistral-nemo,Stage3,Kuwait,en,6.0520725982,-0.4710848812,0.7190801110410725,-1.4510609865838957,5.422283839418308,True
mistral-nemo,Stage3,Kyrgyzstan,en,6.0520725982,-0.4710848812,-0.2290901965431802,2.3628094337365764,6.890860834634219,True
mistral-nemo,Stage3,Kyrgyzstan,ru,6.0520725982,-0.4710848812,0.2952111734970903,2.3073233673282423,6.3922614041293855,False
mistral-nemo,Stage3,Lebanon,ar,6.0520725982,-0.4710848812,1.665069431256173,0.9272280282348764,4.60446259399155,False
mistral-nemo,Stage3,Lebanon,en,6.0520725982,-0.4710848812,0.1267901494419256,2.360603047295039,6.56714767779323,True
mistral-nemo,Stage3,Libya,ar,6.0520725982,-0.4710848812,-0.0851087175081335,0.6055003181296523,6.230893209909209,False
mistral-nemo,Stage3,Libya,en,6.0520725982,-0.4710848812,-1.665184338669496,1.7727935091065077,8.036855408687211,True
mistral-nemo,Stage3,Luxembourg,de,6.0520725982,-0.4710848812,4.038268026627633,3.4779231793740406,4.432840343951551,False
mistral-nemo,Stage3,Luxembourg,en,6.0520725982,-0.4710848812,4.946091550946881,2.363238279169072,3.0424631229133454,True
mistral-nemo,Stage3,Luxembourg,fr,6.0520725982,-0.4710848812,4.494058647107807,3.3315116115853805,4.1093974690630235,False
mistral-nemo,Stage3,Macao,en,6.0520725982,-0.4710848812,2.173843758880562,1.3008339963300124,4.263842801825158,True
mistral-nemo,Stage3,Macao,pt,6.0520725982,-0.4710848812,1.6720976197519262,1.844093159753652,4.954213375819132,False
mistral-nemo,Stage3,Macao,zh-cn,6.0520725982,-0.4710848812,2.745147486620512,2.7552078232315496,4.620034448817806,False
mistral-nemo,Stage3,Malaysia,en-native,6.0520725982,-0.4710848812,0.1508129410232382,1.6135989838418423,6.258655794864244,True
mistral-nemo,Stage3,Mali,en,6.0520725982,-0.4710848812,-1.2660805007044988,0.6207057126270081,7.399146672405855,True
mistral-nemo,Stage3,Mali,fr,6.0520725982,-0.4710848812,1.0445268027805823,-0.1522960242175838,5.017682854521482,False
mistral-nemo,Stage3,Malta,en-native,6.0520725982,-0.4710848812,3.687751156856322,0.4905997739631091,2.5524210573441115,True
mistral-nemo,Stage3,Mexico,en,6.0520725982,-0.4710848812,1.282545823483964,1.9732433637935636,5.359396068962106,True
mistral-nemo,Stage3,Mexico,es,6.0520725982,-0.4710848812,1.2066116157232247,0.5761621833257268,4.957339865982818,False
mistral-nemo,Stage3,Morocco,ar,6.0520725982,-0.4710848812,2.382309749991585,0.9428900373439892,3.93274515222665,False
mistral-nemo,Stage3,Morocco,en,6.0520725982,-0.4710848812,0.6760183556625049,1.5563952872751503,5.745662281431569,True
mistral-nemo,Stage3,New Zealand,en-native,6.0520725982,-0.4710848812,5.364816329993508,1.800789025278912,2.3735484459199196,True
mistral-nemo,Stage3,Nicaragua,en,6.0520725982,-0.4710848812,-0.3926293101324544,1.0749496809792072,6.627548985463376,True
mistral-nemo,Stage3,Nicaragua,es,6.0520725982,-0.4710848812,0.763126363909584,0.6875899974777326,5.414377133493161,False
mistral-nemo,Stage3,Nigeria,en-native,6.0520725982,-0.4710848812,-0.9921956592419942,0.665253494478556,7.135333221850584,True
mistral-nemo,Stage3,Pakistan,en-native,6.0520725982,-0.4710848812,-0.9053758253686204,0.928529449112881,7.096830901200525,True
mistral-nemo,Stage3,Peru,en,6.0520725982,-0.4710848812,0.2486331510041427,2.5665543337661325,6.550355823737289,True
mistral-nemo,Stage3,Peru,es,6.0520725982,-0.4710848812,1.0308351586153297,0.3524885069667264,5.088329642464532,False
mistral-nemo,Stage3,Philippines,en-native,6.0520725982,-0.4710848812,0.0289699394610215,1.4076476973707472,6.309310718255333,True
mistral-nemo,Stage3,Portugal,en,6.0520725982,-0.4710848812,3.736621739075605,2.9392808809521487,4.122124126306667,True
mistral-nemo,Stage3,Portugal,pt,6.0520725982,-0.4710848812,2.1498209672992497,2.047838059783208,4.644624912033162,False
mistral-nemo,Stage3,Puerto Rico,en-native,6.0520725982,-0.4710848812,1.0076565923498566,2.0947876561173,5.659490676539385,True
mistral-nemo,Stage3,Puerto Rico,es,6.0520725982,-0.4710848812,1.3626927130191238,1.0972861839783838,4.944701356566217,False
mistral-nemo,Stage3,Qatar,ar,6.0520725982,-0.4710848812,2.3998213338360066,0.914227703262374,3.906152871396383,False
mistral-nemo,Stage3,Qatar,en,6.0520725982,-0.4710848812,0.5082804862443345,-1.6174099947796654,5.661068118880507,True
mistral-nemo,Stage3,Russian Federation,en,6.0520725982,-0.4710848812,0.5163419457098883,2.2314528432551266,6.160196750836914,True
mistral-nemo,Stage3,Russian Federation,ru,6.0520725982,-0.4710848812,-2.35407109728593,3.4676877642279167,9.283166581588908,False
mistral-nemo,Stage3,Rwanda,en-native,6.0520725982,-0.4710848812,0.7365916948854939,-1.4797233206655105,5.4103316659026195,True
mistral-nemo,Stage3,Rwanda,fr,6.0520725982,-0.4710848812,1.9163701605088452,-2.6140870676201806,4.657949444135932,False
mistral-nemo,Stage3,Singapore,en-native,6.0520725982,-0.4710848812,1.6720976197519262,1.844093159753652,4.954213375819132,True
mistral-nemo,Stage3,Singapore,zh-cn,6.0520725982,-0.4710848812,2.2914469306545024,1.8044588597487972,4.3954982343726705,False
mistral-nemo,Stage3,South Africa,en-native,6.0520725982,-0.4710848812,0.7023337069701531,3.5173032972488856,6.672851449442582,True
mistral-nemo,Stage3,Zimbabwe,en-native,6.0520725982,-0.4710848812,-0.8959028292139234,3.849998720727082,8.182061233869545,True
mistral-nemo,Stage3,Spain,en,6.0520725982,-0.4710848812,2.556843273452253,4.073644627906819,5.733340591969301,True
mistral-nemo,Stage3,Spain,es,6.0520725982,-0.4710848812,4.243192207555012,2.7060518404559204,3.655987693599979,False
mistral-nemo,Stage3,Switzerland,de,6.0520725982,-0.4710848812,3.058589412580889,3.530385464483179,4.997269905655107,False
mistral-nemo,Stage3,Switzerland,en,6.0520725982,-0.4710848812,3.9754834128492655,3.0411533309669263,4.080200963643966,True
mistral-nemo,Stage3,Switzerland,fr,6.0520725982,-0.4710848812,5.372413212572961,0.1513788388112028,0.9216278875994959,False
mistral-nemo,Stage3,Switzerland,it,6.0520725982,-0.4710848812,3.8873118615699056,2.708258226897459,3.846350432015013,False
mistral-nemo,Stage3,Trinidad and Tobago,en-native,6.0520725982,-0.4710848812,0.5299332448025337,1.891042756087743,6.006136030192753,True
mistral-nemo,Stage3,Tunisia,ar,6.0520725982,-0.4710848812,2.4348445015248497,0.8569030350991438,3.853296122699717,False
mistral-nemo,Stage3,Tunisia,en,6.0520725982,-0.4710848812,-0.4687369422720026,2.63343436606659,7.222118582504679,True
mistral-nemo,Stage3,Egypt,ar,6.0520725982,-0.4710848812,1.5607380135383777,0.6926144076821665,4.639642484752726,False
mistral-nemo,Stage3,Egypt,en,6.0520725982,-0.4710848812,-0.8703526576797774,0.8712047809496507,7.05136248964383,True
mistral-nemo,Stage3,United Kingdom,en-native,6.0520725982,-0.4710848812,4.397082662442743,3.3738513473584675,4.185991673324162,True
mistral-nemo,Stage3,United States of America,en-native,6.0520725982,-0.4710848812,2.3685390602839957,5.392081432582088,6.924242814057075,True
mistral-nemo,Stage3,Burkina Faso,en,6.0520725982,-0.4710848812,-0.7075986160456643,2.531561916051812,7.396556138754577,True
mistral-nemo,Stage3,Burkina Faso,fr,6.0520725982,-0.4710848812,2.1600561636332785,-2.202184494677992,4.2596358763069295,False
mistral-nemo,Stage3,Uruguay,en,6.0520725982,-0.4710848812,4.716300353122348,2.88681859584301,3.6138349785037676,True
mistral-nemo,Stage3,Uruguay,es,6.0520725982,-0.4710848812,4.623304472492215,2.2438933688461318,3.0679773883231425,False
mistral-nemo,Stage3,Venezuela,en,6.0520725982,-0.4710848812,0.7023337069701531,3.5173032972488856,6.672851449442582,True
mistral-nemo,Stage3,Venezuela,es,6.0520725982,-0.4710848812,1.2176119918307553,1.2658415786156925,5.1370149777223695,False
mistral-nemo,Stage3,Yemen,ar,6.0520725982,-0.4710848812,-1.9680757994973703,0.9618016437555008,8.147143310049648,False
mistral-nemo,Stage3,Yemen,en,6.0520725982,-0.4710848812,-1.4943917093456585,0.4830190385128533,7.606539149618045,True
mistral-nemo,Stage3,Zambia,en-native,6.0520725982,-0.4710848812,-1.08671891982496,2.254118143805912,7.641274492211785,True
gemini-2.5-pro,Stage3,Algeria,ar,3.1244488292,0.6858437777,-1.980094132587264,-2.081607855424925,5.80647460946982,False
gemini-2.5-pro,Stage3,Algeria,en,3.1244488292,0.6858437777,-3.159872598210615,-0.9472441084702552,6.493047962780516,True
gemini-2.5-pro,Stage3,Argentina,en,3.1244488292,0.6858437777,2.974722810686618,3.114393808992696,2.433161140391574,True
gemini-2.5-pro,Stage3,Argentina,es,3.1244488292,0.6858437777,1.944849395602409,4.390232284237469,3.8876662705420917,False
gemini-2.5-pro,Stage3,Australia,en-native,3.1244488292,0.6858437777,5.090429964137575,4.053975378511205,3.8999220893901825,True
gemini-2.5-pro,Stage3,Austria,de,3.1244488292,0.6858437777,2.408618784489151,2.290701826608727,1.7572654921945805,False
gemini-2.5-pro,Stage3,Austria,en,3.1244488292,0.6858437777,1.5039782971844755,3.591758992016526,3.3272012229390238,True
gemini-2.5-pro,Stage3,Belgium,de,3.1244488292,0.6858437777,3.749002073871772,2.546063277985461,1.962264850796734,False
gemini-2.5-pro,Stage3,Belgium,en,3.1244488292,0.6858437777,3.7009564907091472,4.040071404891854,3.40341065092002,True
gemini-2.5-pro,Stage3,Belgium,fr,3.1244488292,0.6858437777,3.749002073871772,2.546063277985461,1.962264850796734,False
gemini-2.5-pro,Stage3,Bolivia,en,3.1244488292,0.6858437777,-0.0742715807652735,-1.2107392492151334,3.718714756352116,True
gemini-2.5-pro,Stage3,Bolivia,es,3.1244488292,0.6858437777,-0.3783537578025022,-0.2395881411623737,3.622989125012759,False
gemini-2.5-pro,Stage3,Brazil,en,3.1244488292,0.6858437777,0.4715208112318736,0.3846525714228551,2.669970638651102,True
gemini-2.5-pro,Stage3,Brazil,pt,3.1244488292,0.6858437777,-0.2120183333281299,1.5280068101501831,3.441111985950791,False
gemini-2.5-pro,Stage3,Belarus,en,3.1244488292,0.6858437777,-1.560983888660736,2.135767223100784,4.90464654701261,True
gemini-2.5-pro,Stage3,Belarus,ru,3.1244488292,0.6858437777,-1.5504334235282342,2.099952999001407,4.88407913189816,False
gemini-2.5-pro,Stage3,Canada,en-native,3.1244488292,0.6858437777,4.97509817031225,3.129682362668529,3.065493437138658,True
gemini-2.5-pro,Stage3,Canada,fr,3.1244488292,0.6858437777,5.2099205866903,2.5490273074111034,2.7965416708278115,False
gemini-2.5-pro,Stage3,Chile,en,3.1244488292,0.6858437777,0.961029606841888,0.9055794843975844,2.174549726372442,True
gemini-2.5-pro,Stage3,Chile,es,3.1244488292,0.6858437777,0.961029606841888,0.9055794843975844,2.174549726372442,False
gemini-2.5-pro,Stage3,China,en,3.1244488292,0.6858437777,0.2763039151208905,0.8253894923720595,2.851561407032651,True
gemini-2.5-pro,Stage3,China,zh-cn,3.1244488292,0.6858437777,1.1328988192629414,1.0183404538706522,2.019115024396785,False
gemini-2.5-pro,Stage3,"Taiwan, Province of China",en,3.1244488292,0.6858437777,2.35110020517183,0.8632406819009188,0.7934341534786197,True
gemini-2.5-pro,Stage3,"Taiwan, Province of China",zh-tw,3.1244488292,0.6858437777,2.120815446534192,3.5343512033311644,3.0201447847209404,False
gemini-2.5-pro,Stage3,Colombia,en,3.1244488292,0.6858437777,2.0328915309758004,-1.873136637929699,2.7820636410554775,True
gemini-2.5-pro,Stage3,Colombia,es,3.1244488292,0.6858437777,0.2073177860071362,-0.7653748442778516,3.258172649190767,False
