model_name,country,native_language,en_distance,native_distance,english_advantage,internet_collectivity_index,colonial_power,has_colonial_history,gdp_per_capita,HDI,freedom_on_net
mistral-medium-3.1,Bolivia,es,0.2292372788081614,0.6052214844082378,62.12340693220752,40.84,ES,1,4219.46113742445,0.733,
mistral-nemo,Bolivia,es,2.400576835266722,2.1344609703834245,-12.467591048783325,40.84,ES,1,4219.46113742445,0.733,
phi-3-mini-128k-instruct,Bolivia,es,3.2588588764976567,4.032078822250693,19.176707099228462,40.84,ES,1,4219.46113742445,0.733,
qwen3-max,Bolivia,es,0.4249084852744303,0.7946036321756846,46.52573080857951,40.84,ES,1,4219.46113742445,0.733,
claude-3-7-sonnet-20250219,Brazil,pt,2.9430191820413696,0.8729230364912659,-237.14532198289817,55.96,PT,1,9281.33282136864,0.786,65.0
claude-sonnet-4.5,Brazil,pt,2.462349490928656,2.193951834478308,-12.233525469084393,55.96,PT,1,9281.33282136864,0.786,65.0
deepseek-chat,Brazil,pt,1.6766151604461568,2.7211402503696114,38.385566116321165,55.96,PT,1,9281.33282136864,0.786,65.0
deepseek-chat-v3.1,Brazil,pt,2.286255419959168,2.869535757774332,20.326644692783606,55.96,PT,1,9281.33282136864,0.786,65.0
doubao-1-5-pro-32k-250115,Brazil,pt,2.4976107883278713,1.310436526961681,-90.59380114492988,55.96,PT,1,9281.33282136864,0.786,65.0
gemini-2.5-flash,Brazil,pt,0.6862882803692716,1.8147065701271357,62.18185949912601,55.96,PT,1,9281.33282136864,0.786,65.0
gemini-2.5-pro,Brazil,pt,0.8844630225045771,1.901330041932108,53.48187831683359,55.96,PT,1,9281.33282136864,0.786,65.0
gemini-3-pro-preview,Brazil,pt,1.0167697025863487,0.5427035344191818,-87.3526959197948,55.96,PT,1,9281.33282136864,0.786,65.0
gemma-3-4b-it,Brazil,pt,2.8328019482319817,2.5880980605902533,-9.454969707983947,55.96,PT,1,9281.33282136864,0.786,65.0
gpt-4o,Brazil,pt,0.6494047501534556,1.6280373984740315,60.111189659270345,55.96,PT,1,9281.33282136864,0.786,65.0
gpt-4o-mini,Brazil,pt,4.761122880592,3.438576402653065,-38.462035536523544,55.96,PT,1,9281.33282136864,0.786,65.0
gpt-5.1,Brazil,pt,1.6151438366781616,1.3548542298731745,-19.211631854251408,55.96,PT,1,9281.33282136864,0.786,65.0
grok-4.1-fast,Brazil,pt,0.2890998986975818,0.8793980526026949,67.12525143284633,55.96,PT,1,9281.33282136864,0.786,65.0
kimi-k2,Brazil,pt,1.332951908479114,1.7001662972699676,21.598733569798796,55.96,PT,1,9281.33282136864,0.786,65.0
llama-3.2-3b-instruct,Brazil,pt,2.976863093735967,2.4773376651034904,-20.163800666697117,55.96,PT,1,9281.33282136864,0.786,65.0
llama-3.3-70b-instruct,Brazil,pt,1.091602877675912,2.6139681613997925,58.23962610579949,55.96,PT,1,9281.33282136864,0.786,65.0
mistral-medium-3.1,Brazil,pt,2.163071078973808,2.7875290759756126,22.401846939775847,55.96,PT,1,9281.33282136864,0.786,65.0
mistral-nemo,Brazil,pt,2.677560370253764,2.939170316307225,8.90080934071722,55.96,PT,1,9281.33282136864,0.786,65.0
phi-3-mini-128k-instruct,Brazil,pt,3.265085720357858,2.7409502492482365,-19.12240002361869,55.96,PT,1,9281.33282136864,0.786,65.0
qwen3-max,Brazil,pt,0.8401767273235984,1.0185238192285695,17.510350620965497,55.96,PT,1,9281.33282136864,0.786,65.0
claude-3-7-sonnet-20250219,Burkina Faso,fr,0.8753962058373139,1.974372535921553,55.66205516383379,,FR,1,827.330843486661,0.459,
claude-sonnet-4.5,Burkina Faso,fr,1.0964041614948865,1.1081628380900004,1.0610964554073146,,FR,1,827.330843486661,0.459,
deepseek-chat,Burkina Faso,fr,0.6069308772469275,0.8753962058373139,30.667865224935504,,FR,1,827.330843486661,0.459,
deepseek-chat-v3.1,Burkina Faso,fr,0.8753962058373139,2.4336736415061297,64.02984398123502,,FR,1,827.330843486661,0.459,
doubao-1-5-pro-32k-250115,Burkina Faso,fr,2.2293583092200153,1.398635717847912,-59.39520782797828,,FR,1,827.330843486661,0.459,
gemini-2.5-flash,Burkina Faso,fr,1.3495416890763416,1.1255826403017617,-19.897166210251623,,FR,1,827.330843486661,0.459,
gemini-2.5-pro,Burkina Faso,fr,2.9779869546250706,4.69513792729016,36.572961204915195,,FR,1,827.330843486661,0.459,
gemini-3-pro-preview,Burkina Faso,fr,2.452597115590044,2.258474870858023,-8.595280259118912,,FR,1,827.330843486661,0.459,
gemma-3-4b-it,Burkina Faso,fr,2.0192832943612258,3.8434693165548057,47.46196396928015,,FR,1,827.330843486661,0.459,
gpt-4o,Burkina Faso,fr,0.8357304578636373,1.6895343766914257,50.534865144311055,,FR,1,827.330843486661,0.459,
gpt-4o-mini,Burkina Faso,fr,0.8813218843127774,1.634072950946917,46.06594009147103,,FR,1,827.330843486661,0.459,
gpt-5.1,Burkina Faso,fr,1.3451742595641372,1.0766751233103165,-24.937804398071396,,FR,1,827.330843486661,0.459,
grok-4.1-fast,Burkina Faso,fr,3.178663549112926,3.178663549112926,0.0,,FR,1,827.330843486661,0.459,
kimi-k2,Burkina Faso,fr,1.1028977773594453,1.1028977773594453,0.0,,FR,1,827.330843486661,0.459,
llama-3.2-3b-instruct,Burkina Faso,fr,3.6546371568670657,4.194807894321308,12.877126940318169,,FR,1,827.330843486661,0.459,
llama-3.3-70b-instruct,Burkina Faso,fr,0.915746816229172,1.4157645853105043,35.31786105326749,,FR,1,827.330843486661,0.459,
mistral-medium-3.1,Burkina Faso,fr,1.3451742595641372,2.258474870858023,40.438821041516015,,FR,1,827.330843486661,0.459,
mistral-nemo,Burkina Faso,fr,3.788710461649824,3.2254887011492017,-17.461594588750334,,FR,1,827.330843486661,0.459,
phi-3-mini-128k-instruct,Burkina Faso,fr,2.720733241445527,1.939079417260104,-40.310562694223776,,FR,1,827.330843486661,0.459,
qwen3-max,Burkina Faso,fr,1.1273132580787848,1.4590420861539135,22.73606986550866,,FR,1,827.330843486661,0.459,
claude-3-7-sonnet-20250219,Chile,es,1.022454654710618,1.011109482150172,-1.122051841143832,54.61,ES,1,15405.6165774073,0.878,86.0
claude-sonnet-4.5,Chile,es,3.2013768082845773,2.6307117384454286,-21.692421161140704,54.61,ES,1,15405.6165774073,0.878,86.0
deepseek-chat,Chile,es,0.6209470012610971,1.7915651645506867,65.34052941262526,54.61,ES,1,15405.6165774073,0.878,86.0
deepseek-chat-v3.1,Chile,es,1.022330469176953,0.9285970347683696,-10.094091505683544,54.61,ES,1,15405.6165774073,0.878,86.0
doubao-1-5-pro-32k-250115,Chile,es,0.8246833527335502,0.6209470012610971,-32.810586259162164,54.61,ES,1,15405.6165774073,0.878,86.0
gemini-2.5-flash,Chile,es,0.8785214824105948,1.5690510480161852,44.00937537874596,54.61,ES,1,15405.6165774073,0.878,86.0
