model_name,model_region,roleplay_country,real_country,country_code,cultural_region,distance,roleplay_pc1,roleplay_pc2,real_pc1,real_pc2
google/gemini-2.0-flash-001,,Guatemala,Guatemala,Guatemala,,1.9154735135046006,-1.4646827013454558,-0.4209153612488758,0.3294469078223742,-1.0918384018764502
meta-llama/llama-3.3-70b-instruct,,Guatemala,Guatemala,Guatemala,,1.9852685965221708,-1.4316547829866897,-0.17542570283383746,0.3294469078223742,-1.0918384018764502
mistralai/mistral-nemo,,Guatemala,Guatemala,Guatemala,,1.430477379402894,1.0318681856001422,0.15430359705802865,0.3294469078223742,-1.0918384018764502
openai/gpt-4o-mini,,Guatemala,Guatemala,Guatemala,,1.5910376166140232,1.9004275381611135,-1.3436727851153734,0.3294469078223742,-1.0918384018764502
anthropic/claude-3.7-sonnet,,Hong Kong,Hong Kong,Hong Kong,,0.7209564044556109,1.2768304767513419,1.510880079622573,0.6089056190401778,1.7822737449448935
deepseek/deepseek-chat-v3-0324,,Hong Kong,Hong Kong,Hong Kong,,0.676473637551189,1.2779737494418408,1.882095682326216,0.6089056190401778,1.7822737449448935
google/gemini-2.0-flash-001,,Hong Kong,Hong Kong,Hong Kong,,0.6447421725014737,-0.02953593700068463,1.8721895306671033,0.6089056190401778,1.7822737449448935
meta-llama/llama-3.3-70b-instruct,,Hong Kong,Hong Kong,Hong Kong,,1.7963365116428809,1.8274771310899984,3.1020874943360446,0.6089056190401778,1.7822737449448935
mistralai/mistral-nemo,,Hong Kong,Hong Kong,Hong Kong,,1.7211869410438294,2.2562499542903427,2.2810132833203935,0.6089056190401778,1.7822737449448935
openai/gpt-4o-mini,,Hong Kong,Hong Kong,Hong Kong,,2.0940932531314216,2.341752090699573,2.9580584439727917,0.6089056190401778,1.7822737449448935
anthropic/claude-3.7-sonnet,,India,India,India,,0.33962884688639683,-0.7047510028724263,-1.26547650829321,-0.651927719180195,-0.9299806747313704
deepseek/deepseek-chat-v3-0324,,India,India,India,,0.5369171949752802,-0.133230296839703,-0.791297372501245,-0.651927719180195,-0.9299806747313704
google/gemini-2.0-flash-001,,India,India,India,,0.5689309125383111,-0.8266474598790944,-1.4714189403275366,-0.651927719180195,-0.9299806747313704
mistralai/mistral-nemo,,India,India,India,,2.40233211746247,1.740233189717057,-0.7091509019750997,-0.651927719180195,-0.9299806747313704
openai/gpt-4o-mini,,India,India,India,,3.289943023692553,2.592095813377397,-0.38222487206392364,-0.651927719180195,-0.9299806747313704
mistralai/mistral-nemo,,Iraq,Iraq,Iraq,,1.7209773161932727,-0.07646140344090718,0.07480050697829727,-1.5080029434993072,-0.880422891991297
openai/gpt-4o-mini,,Iraq,Iraq,Iraq,,1.091008536193672,-1.7539902156481215,-1.9433386402932236,-1.5080029434993072,-0.880422891991297
anthropic/claude-3.7-sonnet,,Jordan,Jordan,Jordan,,0.11482820085971425,-1.8428587542960235,-1.9037914139125114,-1.7940845102735699,-2.0077461580693656
google/gemini-2.0-flash-001,,Jordan,Jordan,Jordan,,0.19882146933458805,-1.9647552113026916,-2.1097338459468378,-1.7940845102735699,-2.0077461580693656
mistralai/mistral-nemo,,Jordan,Jordan,Jordan,,3.048363234013396,1.1033163816756297,-1.060335751847968,-1.7940845102735699,-2.0077461580693656
